rally_id,game_id,match_id,rally_number,winning_team_id,serving_team_id,serving_player_id,returning_team_id,returning_player_id,thirdshot_player_id,third_shot_type,timeout,timeout_team_id,rally_length,ending_type,ending_player_id
R5553,G124,M69,7,T94,T93,P125,T94,P126,P125,Drop,N,N/A,16,Winner,P127
R33773,G794,M597,12,T635,T638,P601,T635,P194,N/A,Drop,N,N/A,5,Error,P601
R5727,G127,M70,36,T65,T65,P2,T95,P128,P3,Drop,N,N/A,11,Winner,P3
R33775,G794,M597,14,T638,T638,P752,T635,P749,N/A,Drive,N,N/A,4,Error,P194
R5696,G127,M70,5,T95,T65,P3,T95,P129,P3,Drive,N,N/A,3,Error,P3
R33776,G794,M597,15,T638,T638,P601,T635,P194,N/A,Drive,N,N/A,6,Error,P194
R33792,G794,M597,31,T638,T638,P752,T635,P749,N/A,Drive,N,N/A,7,Winner,P601
R5193,G116,M63,2,T86,T88,P115,T86,P111,N/A,N/A,N,N/A,,Other,N/A
R5224,G116,M63,33,N/A,T88,N/A,T86,N/A,N/A,N/A,Y,T86,,Timeout/Unknown,N/A
R5700,G127,M70,9,T95,T65,P2,T95,P128,P3,Drive,N,N/A,5,Error,P3
R5723,G127,M70,32,N/A,T65,N/A,T95,N/A,N/A,N/A,Y,T95,,Timeout/Unknown,N/A
R33610,G790,M593,5,T438,T633,P197,T438,P548,N/A,N/A,N,N/A,1,Error,P197
R33799,G794,M597,38,T638,T638,P752,T635,P749,N/A,Drop,N,N/A,7,Winner,P601
R5702,G127,M70,11,T95,T65,P3,T95,P128,P2,Drive,N,N/A,3,Error,P2
R5715,G127,M70,24,T65,T65,P3,T95,P128,P2,Drop,N,N/A,6,Error,P128
R5722,G127,M70,31,T65,T65,P2,T95,P128,P2,Drive,N,N/A,10,Error,P129
R9031,G209,M113,34,T155,T155,P205,T152,P202,P205,Drive,N,N/A,10,Error,P203
R6237,G141,M79,20,T65,T65,P2,T107,P15,P2,Drop,N,N/A,10,Other,N/A
R5571,G124,M69,25,T94,T93,P125,T94,P127,P125,Drop,N,N/A,13,Error,P125
R9033,G209,M113,36,T152,T155,P70,T152,P202,P205,Drive,N,N/A,15,Other,N/A
R9020,G209,M113,23,T155,T152,P203,T155,P205,P203,Drop,N,N/A,25,Other,N/A
R8999,G209,M113,2,T152,T152,P202,T155,P70,P202,Drop,N,N/A,15,Winner,P202
R33628,G790,M593,23,T438,T633,P748,T438,P523,N/A,N/A,N,N/A,1,Error,P748
R33629,G790,M593,24,T633,T438,P548,T633,P748,N/A,N/A,N,N/A,1,Error,P548
R33612,G790,M593,7,T438,T633,P748,T438,P523,N/A,Drop,N,N/A,10,Winner,P523
R6241,G141,M79,24,T65,T65,P3,T107,P15,P2,Drop,N,N/A,24,Other,N/A
R5582,G124,M69,36,T94,T93,P125,T94,P127,P125,Drop,N,N/A,7,Other,N/A
R6244,G141,M79,27,T65,T65,P3,T107,P143,P2,Drive,N,N/A,4,Error,P143
R6242,G141,M79,25,N/A,T65,N/A,T107,N/A,N/A,N/A,Y,T107,,Timeout/Unknown,N/A
R6243,G141,M79,26,N/A,T65,N/A,T107,N/A,N/A,N/A,Y,T107,,Timeout/Unknown,N/A
R33790,G794,M597,29,T635,T638,P601,T635,P194,N/A,Drive,N,N/A,8,Winner,P194
R33671,G791,M594,31,T636,T637,P50,T636,P751,P284,Drive,N,N/A,7,Other,N/A
R33655,G791,M594,15,T636,T637,P284,T636,P751,P284,Drive,N,N/A,5,Other,N/A
R33668,G791,M594,28,T636,T637,P284,T636,P750,P284,Drop,N,N/A,9,Other,N/A
R33682,G791,M594,42,T637,T636,P751,T637,P50,P751,Drop,N,N/A,5,Other,N/A
R33642,G791,M594,2,T636,T636,P750,T637,P284,P750,Drop,N,N/A,10,Error,P284
R33676,G791,M594,36,T636,T636,P750,T637,P284,P751,Drop,N,N/A,10,Error,P50
R33641,G791,M594,1,T636,T636,P750,T637,P50,P750,Drop,N,N/A,19,Winner,P751
R33643,G791,M594,3,T636,T636,P750,T637,P50,P750,Drive,N,N/A,7,Winner,P750
R33644,G791,M594,4,T637,T636,P750,T637,P284,P751,Drop,N,N/A,3,Error,P751
R33645,G791,M594,5,T636,T637,P50,T636,P751,P284,Drive,N,N/A,7,Error,P50
R33646,G791,M594,6,T636,T637,P284,T636,P750,P284,Drop,N,N/A,5,Error,P284
R33647,G791,M594,7,T636,T636,P751,T637,P50,N/A,"",N,N/A,2,Unforced Error,P50
R33648,G791,M594,8,T636,T636,P751,T637,P284,P750,Drop,N,N/A,7,Winner,P751
R33649,G791,M594,9,T637,T636,P751,T637,P50,P751,Drop,N,N/A,18,Winner,P284
R33650,G791,M594,10,T636,T636,P750,T637,P284,P751,Drop,N,N/A,14,Error,P50
R33651,G791,M594,11,T636,T636,P750,T637,P50,P751,Drop,N,N/A,6,Error,P284
R33652,G791,M594,12,T636,T636,P750,T637,P284,N/A,"",N,N/A,2,Unforced Error,P284
R33653,G791,M594,13,T637,T636,P750,T637,P50,P750,Drive,N,N/A,7,Error,P751
R5547,G124,M69,1,T93,T93,P124,T94,P126,P125,Drop,N,N/A,4,Unforced Error,P126
R5548,G124,M69,2,T94,T93,P124,T94,P127,P125,Drop,N,N/A,4,Winner,P126
R5552,G124,M69,6,T93,T93,P125,T94,P127,P125,Drop,N,N/A,4,Error,P127
R5554,G124,M69,8,T93,T93,P124,T94,P127,P124,Drop,N,N/A,7,Winner,P124
R33654,G791,M594,14,T636,T637,P50,T636,P750,P284,Drive,N,N/A,8,Winner,P750
R5555,G124,M69,9,T94,T93,P124,T94,P126,P125,Drop,N,N/A,3,Unforced Error,P125
R5556,G124,M69,10,T93,T94,P127,T93,P125,P127,Drop,N,N/A,5,Unforced Error,P127
R33656,G791,M594,16,T637,T636,P750,T637,P50,P751,Drop,N,N/A,12,Winner,P284
R33657,G791,M594,17,T637,T636,P751,T637,P284,P751,Drop,N,N/A,5,Error,P751
R33658,G791,M594,18,T636,T637,P50,T636,P750,P284,Drop,N,N/A,14,Winner,P751
R33659,G791,M594,19,T637,T637,P284,T636,P751,P284,Drive,N,N/A,6,Error,P751
R33660,G791,M594,20,T637,T637,P284,T636,P750,P284,Drive,N,N/A,7,Winner,P50
R33661,G791,M594,21,T636,T637,P284,T636,P751,P50,Drop,N,N/A,3,Error,P50
R33662,G791,M594,22,T636,T636,P750,T637,P50,P750,Drop,N,N/A,8,Error,P50
R5200,G116,M63,9,T88,T86,P112,T88,P115,N/A,N/A,N,N/A,1,Unforced Error,P112
R33663,G791,M594,23,T637,T636,P750,T637,P284,P750,Drop,N,N/A,5,Error,P751
R33664,G791,M594,24,T636,T636,P751,T637,P50,P751,Drop,N,N/A,7,Winner,P750
R33665,G791,M594,25,T636,T636,P751,T637,P284,P751,Drop,N,N/A,6,Error,P50
R33666,G791,M594,26,T637,T636,P751,T637,P50,P751,Drop,N,N/A,3,Error,P751
R33667,G791,M594,27,T636,T637,P50,T636,P751,P50,Drive,N,N/A,5,Error,P50
R33669,G791,M594,29,T637,T636,P751,T637,P50,P751,Drop,N,N/A,3,Error,P751
R4584,G103,M51,2,T76,T77,P28,T76,P98,P96,Drive,N,N/A,9,Other,N/A
R4588,G103,M51,6,T76,T77,P96,T76,P98,P96,Drop,N,N/A,5,Other,N/A
R33670,G791,M594,30,T637,T636,P750,T637,P284,P751,Drop,N,N/A,9,Unforced Error,P751
R33672,G791,M594,32,T637,T637,P284,T636,P750,P284,Drive,N,N/A,4,Error,P751
R33673,G791,M594,33,T637,T637,P284,T636,P751,P284,Drop,N,N/A,7,Winner,P50
R33674,G791,M594,34,T636,T637,P284,T636,P750,P284,Drive,N,N/A,10,Winner,P751
R33675,G791,M594,35,T637,T636,P751,T637,P50,P751,Drop,N,N/A,7,Error,P751
R4596,G103,M51,14,T76,T77,P28,T76,P98,P96,Drive,N,N/A,9,Other,N/A
R33677,G791,M594,37,T636,T636,P750,T637,P50,P751,Drop,N,N/A,11,Winner,P751
R33679,G791,M594,39,T637,T636,P750,T637,P284,P751,Drop,N,N/A,12,Winner,P50
R33680,G791,M594,40,T636,T637,P50,T636,P751,P50,Drop,N,N/A,7,Error,P50
R4614,G103,M51,32,T76,T77,P96,T76,P2,P28,Drive,N,N/A,7,Other,N/A
R33681,G791,M594,41,T636,T637,P284,T636,P750,P284,Drop,N,N/A,7,Error,P50
R33683,G791,M594,43,T636,T636,P750,T637,P284,P751,Drop,N,N/A,11,Winner,P750
R33684,G791,M594,44,T636,T636,P750,T637,P50,P750,Drop,N,N/A,11,Winner,P751
R33678,G791,M594,38,N/A,T636,N/A,T637,N/A,N/A,"",Y,T637,,Timeout/Unknown,N/A
R4601,G103,M51,19,T76,T76,P98,T77,P96,P98,Drop,N,N/A,18,Other,N/A
R4605,G103,M51,23,T77,T76,P2,T77,P96,P98,Drive,N,N/A,11,Other,N/A
R4611,G103,M51,29,T77,T76,P98,T77,P28,P2,Drop,N,N/A,5,Other,N/A
R4615,G103,M51,33,T77,T76,P98,T77,P28,P2,Drive,N,N/A,5,Other,N/A
R5558,G124,M69,12,T94,T93,P125,T94,P127,P124,Drop,N,N/A,3,Unforced Error,P124
R4620,G103,M51,38,T77,T76,P98,T77,P96,P98,Drop,N,N/A,9,Other,N/A
R5559,G124,M69,13,T93,T93,P124,T94,P126,P125,Drop,N,N/A,5,Winner,P125
R5560,G124,M69,14,T94,T93,P124,T94,P127,P124,Drop,N,N/A,5,Unforced Error,P125
R5561,G124,M69,15,T93,T94,P127,T93,P124,P126,Drop,N,N/A,3,Error,P126
R5562,G124,M69,16,T94,T94,P126,T93,P125,P127,Drive,N,N/A,12,Error,P124
R5563,G124,M69,17,T94,T94,P126,T93,P124,P126,Drive,N,N/A,4,Unforced Error,P125
R4591,G103,M51,9,T77,T76,P2,T77,P28,P2,Drive,N,N/A,7,Other,N/A
R5564,G124,M69,18,T94,T94,P126,T93,P125,P126,Drive,N,N/A,4,Unforced Error,P125
R4583,G103,M51,1,T77,T77,P28,T76,P2,P96,Drive,N,N/A,8,Error,P2
R4600,G103,M51,18,N/A,T76,N/A,T77,N/A,N/A,N/A,Y,T77,,Timeout/Unknown,N/A
R4610,G103,M51,28,N/A,T76,N/A,T77,N/A,N/A,N/A,Y,T77,,Timeout/Unknown,N/A
R4585,G103,M51,3,T77,T76,P2,T77,P96,P2,Drop,N,N/A,23,Error,P98
R4586,G103,M51,4,T76,T76,P98,T77,P28,P2,Drop,N,N/A,6,Error,P96
R4587,G103,M51,5,T77,T76,P98,T77,P96,P98,Drop,N,N/A,15,Error,P98
R4589,G103,M51,7,T76,T77,P28,T76,P2,P96,Drive,N,N/A,5,Error,P28
R33784,G794,M597,23,T638,T635,P749,T638,P752,N/A,Drop,N,N/A,6,Winner,P601
R33767,G794,M597,6,T638,T635,P749,T638,P752,N/A,Drop,N,N/A,6,Winner,P752
R33791,G794,M597,30,T638,T635,P749,T638,P752,N/A,Lob,N,N/A,6,Winner,P752
R33774,G794,M597,13,T638,T635,P194,T638,P601,N/A,Drop,N,N/A,14,Winner,P601
R33764,G794,M597,3,T638,T635,P194,T638,P601,N/A,Drop,N,N/A,3,Error,P194
R33769,G794,M597,8,T638,T635,P194,T638,P601,N/A,Drop,N,N/A,3,Error,P749
R33771,G794,M597,10,T638,T635,P749,T638,P752,N/A,Drop,N,N/A,4,Winner,P601
R33777,G794,M597,16,T635,T638,P752,T635,P749,N/A,Drop,N,N/A,5,Error,P752
R33779,G794,M597,18,T638,T635,P194,T638,P601,N/A,Drop,N,N/A,3,Error,P749
R33780,G794,M597,19,T635,T638,P601,T635,P194,N/A,Drop,N,N/A,5,Error,P752
R4590,G103,M51,8,T77,T76,P98,T77,P96,P2,Drop,N,N/A,11,Error,P2
R4592,G103,M51,10,T77,T77,P96,T76,P98,P96,Drive,N,N/A,15,Winner,P96
R33781,G794,M597,20,T635,T635,P749,T638,P752,N/A,Drop,N,N/A,4,Error,P752
R4593,G103,M51,11,T76,T77,P96,T76,P2,P96,Drive,N,N/A,19,Error,P96
R4594,G103,M51,12,T77,T77,P28,T76,P98,P96,Drive,N,N/A,23,Winner,P96
R4595,G103,M51,13,T77,T77,P28,T76,P2,P28,Drive,N,N/A,6,Error,P98
R4597,G103,M51,15,T76,T76,P98,T77,P28,P2,Drive,N,N/A,4,Error,P96
R4598,G103,M51,16,T76,T76,P98,T77,P96,P2,Drop,N,N/A,10,Error,P28
R4599,G103,M51,17,T76,T76,P98,T77,P28,P2,Drop,N,N/A,16,Error,P96
R4602,G103,M51,20,T76,T76,P98,T77,P28,P2,Drive,N,N/A,10,Error,P28
R4603,G103,M51,21,T76,T76,P98,T77,P96,P2,Drop,N,N/A,15,Winner,P2
R4604,G103,M51,22,T77,T76,P98,T77,P28,P98,Drive,N,N/A,5,Error,P98
R33782,G794,M597,21,T638,T635,P194,T638,P601,N/A,Drive,N,N/A,5,Error,P194
R4606,G103,M51,24,T76,T77,P28,T76,P98,P96,Drive,N,N/A,4,Winner,P2
R4607,G103,M51,25,T76,T77,P96,T76,P2,N/A,N/A,N,N/A,1,Unforced Error,P96
R4608,G103,M51,26,T76,T76,P98,T77,P28,P98,Drop,N,N/A,4,Unforced Error,P28
R4609,G103,M51,27,T76,T76,P98,T77,P96,P98,Drive,N,N/A,7,Winner,P98
R4612,G103,M51,30,T77,T76,P2,T77,P96,P98,Drive,N,N/A,6,Winner,P96
R4613,G103,M51,31,T76,T77,P28,T76,P98,P96,Drive,N,N/A,8,Winner,P98
R33687,G792,M595,3,T633,T638,P601,T633,P748,N/A,N/A,N,N/A,1,Error,P601
R4616,G103,M51,34,T77,T76,P2,T77,P96,P98,Drop,N,N/A,13,Error,P98
R4617,G103,M51,35,T76,T77,P28,T76,P98,P28,Drive,N,N/A,5,Unforced Error,P96
R33689,G792,M595,5,T638,T633,P748,T638,P601,N/A,N/A,N,N/A,1,Error,P748
R4618,G103,M51,36,T77,T77,P96,T76,P2,P28,Drive,N,N/A,4,Error,P98
R33783,G794,M597,22,T635,T638,P752,T635,P749,N/A,N/A,N,N/A,1,Error,P752
R33785,G794,M597,24,T635,T638,P601,T635,P194,N/A,Drive,N,N/A,3,Error,P752
R33692,G792,M595,8,T633,T638,P601,T633,P197,N/A,N/A,N,N/A,1,Error,P601
R4619,G103,M51,37,T76,T77,P96,T76,P98,P28,Drive,N,N/A,3,Error,P28
R4621,G103,M51,39,T76,T76,P2,T77,P28,P2,Drive,N,N/A,4,Error,P28
R33786,G794,M597,25,T635,T635,P194,T638,P601,N/A,Drop,N,N/A,4,Error,P601
R33787,G794,M597,26,T635,T635,P749,T638,P752,N/A,Drop,N,N/A,4,Error,P601
R33788,G794,M597,27,T638,T635,P194,T638,P601,N/A,Drop,N,N/A,3,Error,P749
R33696,G792,M595,12,T638,T633,P748,T638,P752,N/A,N/A,N,N/A,1,Error,P748
R5565,G124,M69,19,T94,T94,P126,T93,P124,N/A,Drive,N,N/A,2,Unforced Error,P124
R33789,G794,M597,28,T638,T638,P752,T635,P749,N/A,Drive,N,N/A,6,Error,P749
R33793,G794,M597,32,T638,T638,P601,T635,P194,N/A,"",N,N/A,2,Error,P194
R33778,G794,M597,17,T635,T635,P749,T638,P752,N/A,"",N,N/A,,Other,N/A
R33794,G794,M597,33,T635,T638,P752,T635,P749,N/A,Drive,N,N/A,3,Error,P752
R33795,G794,M597,34,T635,T635,P194,T638,P601,N/A,Drop,N,N/A,8,Error,P601
R33796,G794,M597,35,T638,T635,P749,T638,P752,N/A,Drop,N,N/A,3,Error,P749
R33706,G792,M595,22,T633,T633,P748,T638,P752,N/A,N/A,N,N/A,1,Winner,P748
R33797,G794,M597,36,T635,T638,P601,T635,P194,N/A,Drive,N,N/A,4,Winner,P749
R33798,G794,M597,37,T638,T635,P194,T638,P601,N/A,Drive,N,N/A,3,Error,P749
R37587,G876,M668,46,T686,T687,P810,T686,P518,N/A,Drop,N,N/A,6,Winner,P809
R37546,G876,M668,5,T687,T687,P810,T686,P809,N/A,"",N,N/A,2,Unforced Error,P809
R4622,G103,M51,40,T77,T76,P2,T77,P96,P98,Drive,N,N/A,7,Error,P98
R4623,G103,M51,41,T76,T77,P96,T76,P2,P96,Drive,N,N/A,3,Error,P28
R4624,G103,M51,42,T76,T77,P28,T76,P98,P28,Drop,N,N/A,9,Error,P28
R4625,G103,M51,43,T77,T76,P2,T77,P96,P98,Drive,N,N/A,10,Winner,P96
R37547,G876,M668,6,T687,T687,P810,T686,P518,N/A,Drop,N,N/A,8,Unforced Error,P518
R37548,G876,M668,7,T687,T687,P810,T686,P809,N/A,Drive,N,N/A,4,Error,P809
R37549,G876,M668,8,T686,T687,P810,T686,P518,N/A,Drive,N,N/A,3,Error,P810
R37550,G876,M668,9,T687,T687,P811,T686,P809,N/A,Drop,N,N/A,22,Error,P518
R37551,G876,M668,10,T687,T687,P811,T686,P518,N/A,Drop,N,N/A,24,Unforced Error,P809
R5566,G124,M69,20,T94,T94,P126,T93,P125,P126,Drive,N,N/A,7,Winner,P126
R5567,G124,M69,21,T93,T94,P126,T93,P124,P127,Drive,N,N/A,4,Winner,P124
R5568,G124,M69,22,T93,T93,P124,T94,P126,P125,Drop,N,N/A,4,Unforced Error,P127
R5569,G124,M69,23,T94,T93,P124,T94,P127,P125,Drop,N,N/A,7,Unforced Error,P125
R5570,G124,M69,24,T93,T93,P125,T94,P126,P125,Drop,N,N/A,8,Error,P127
